4.46,4.43,4.64,4.36,2.57
4.5,3.0,2.25,3.5,3.5
3.7,3.1,2.2,3.4,2.9
3.67,4.17,4.0,3.83,1.83
3.75,3.25,3.0,4.5,4.0
4.05,4.2,3.65,3.9,3.9
4.35,3.5,3.74,4.0,2.7
5.0,3.0,2.5,3.75,2.75
3.7,3.55,2.6,3.5,3.55
3.0,4.25,4.5,4.0,2.25
4.25,3.75,3.5,4.0,2.25
3.85,2.0,3.0,3.35,3.85
3.0,4.0,3.5,4.5,2.75
4.5,2.75,4.75,4.5,2.75
3.75,3.5,3.25,2.5,3.75
3.67,4.0,2.5,2.75,3.33
4.5,4.0,4.5,4.25,3.25
3.25,4.5,4.0,3.5,2.75
2.5,4.75,2.25,2.75,4.75
4.5,3.75,3.75,4.25,2.75
4.75,3.25,4.25,3.75,2.5
4.5,3.75,4.0,3.75,3.0
2.75,3.5,3.75,2.75,3.5
3.5,4.0,2.5,3.0,3.0
3.0,4.75,3.5,4.25,3.25
3.75,4.25,4.25,3.5,2.5
4.5,2.5,4.0,4.0,3.25
4.5,2.85,3.25,4.5,2.8
4.0,3.5,3.5,3.33,1.4
4.45,3.7,3.7,4.55,2.4
4.5,3.75,3.75,4.25,2.75
2.0,3.25,4.25,3.5,2.75
3.25,4.5,4.5,3.0,2.0
4.5,3.25,3.5,4.0,2.5
3.4,4.05,4.55,4.85,2.85
4.75,3.0,4.5,4.0,3.0
4.8,3.7,4.75,4.15,2.3
4.5,2.25,3.25,3.25,2.75
4.25,3.75,4.0,3.75,4.0
5.0,3.0,2.5,3.75,2.75
4.0,3.25,4.25,3.5,3.25
4.4,3.67,3.4,3.8,1.6
4.5,3.0,1.25,3.5,4.75
4.25,2.25,2.5,3.75,2.5
4.25,4.33,3.0,3.5,2.0
3.95,4.5,2.3,4.35,2.7
3.67,2.5,3.0,2.25,2.75
3.8,3.8,4.5,3.6,3.4
3.95,3.8,3.68,3.44,2.3
3.75,3.5,3.25,2.5,3.75
4.0,2.33,3.67,2.67,4.0
4.75,3.75,4.0,3.25,3.25
4.25,2.25,3.25,3.75,4.25
5.0,4.0,3.25,2.25,3.0
4.25,3.45,2.35,3.26,2.7
3.5,4.5,4.25,2.5,3.25
4.5,2.75,3.75,2.0,4.5
5.0,2.5,2.0,3.25,4.5
4.5,3.0,2.25,3.5,3.5
3.65,3.65,2.26,3.25,4.45
3.75,3.95,2.75,2.9,3.6
2.75,3.5,3.75,2.75,3.5
4.1,3.45,4.3,2.5,3.5
5.0,5.0,5.0,4.0,1.0
3.75,4.0,3.05,2.5,3.1
4.75,3.75,4.0,2.75,2.5
3.95,4.5,2.3,4.35,2.7
3.4,4.05,4.55,4.85,2.85
4.75,3.75,4.0,4.0,3.0
3.75,3.25,4.25,3.25,3.0
4.25,3.2,2.7,4.4,3.37
4.8,4.5,5.0,4.95,1.4
5.0,4.0,4.5,4.5,3.0
3.5,3.25,4.75,4.25,2.75
4.0,3.25,4.25,2.5,2.75
4.5,3.75,4.0,4.25,1.75
3.5,2.25,3.75,4.0,1.75
3.25,1.75,4.75,4.0,2.25
4.75,4.5,5.0,2.5,2.75
3.5,3.25,4.75,4.25,2.75
3.5,3.25,4.75,4.25,2.75
5.0,2.5,4.75,3.75,4.0
4.5,3.0,1.75,3.0,2.75
3.5,3.5,2.75,4.25,2.0
3.75,3.5,3.25,2.5,3.75
2.25,3.25,2.0,4.0,3.75
2.67,3.0,3.5,3.75,3.25
4.25,3.75,3.5,3.75,2.5
3.4,4.05,4.55,4.85,2.85
4.45,3.7,3.7,4.55,2.4
2.0,3.33,4.5,3.67,3.5
4.0,3.75,4.5,4.25,3.5
4.8,3.35,4.25,3.85,2.8
3.67,2.33,4.08,2.92,2.92
4.5,3.6,3.75,3.95,3.2
4.5,3.6,3.55,3.35,2.4
4.29,2.93,1.54,3.14,4.29
3.25,3.75,3.5,4.5,3.0
3.95,4.5,2.3,4.35,2.7
3.75,4.0,3.05,2.5,3.1
