3.7 |BT| (ROOT (S (VP (VBD (get)))(PP (TO (to)))(NP (VB (be)))(ADJP (JJ (pregnant)))(PP (IN (for)))(PP (IN (like)))(NP (DT (a))(NN (hour)))(NP (NN (today)))(NP (PRP (it)))(VP (VBD (be)))(ADJP (JJ (great))))) |ET|
3.0 |BT| (ROOT (S (NP (PRP (i)))(VP (VBP (wish)))(NP (FW (i)))(VP (MD (could))(VB (have)))(NP (DT (this))(NN (moment)))(PP (IN (for)))(NP (NN (life)))(PP (IN (for)))(NP (NN (life)))(PP (IN (for)))(NP (NN (life))))(S (NP (VB (cause)))(PP (IN (in)))(NP (DT (this))(NN (moment)))(NP (PRP (i)))(VP (VBP (feel)))(ADJP (RB (so))(JJ (alive))))) |ET|
3.45 |BT| (ROOT (S (NP (DT (the))(NN (dance)))(VP (VBD (be)))(NP (JJ (pretty))(NN (fun)))(NP (NN (today))))) |ET|
3.1 |BT| (ROOT (S (NP (PRP (you)))(VP (MD (can))(RB (not))(VB (see)))(NP (DT (the))(NN (forest)))(PP (IN (through)))(NP (DT (the))(NNS (tree)))(ADVP (VBG (^)))(PP (NN (o)))(NP (NNS (^))))) |ET|
4.25 |BT| (ROOT (S (PP (NNP (destiny)))(NP (NNP (heree)))(NP (NNP (hackin)))(NP (POS ('))(NNP (the))(NNP (bro))(NNP (page))))(S (NP (NN (ily))(VBD (bro))))(S (NP (NNP (even))(NNP (though))(NNP (yhu))(VB (get)))(PP (RP (on)))(NP (NNP (my))(NNP (nerves))))) |ET|
4.25 |BT| (ROOT (S (NP (NN (softball)))(PP (IN (in)))(NP (DT (the))(NN (morning))))(S (NP (NN (football)))(PP (IN (in)))(NP (DT (the))(NN (afternoon))))(S (NP (WP (what)))(VP (MD (could))(VB (be)))(ADJP (JJR (better))))) |ET|
3.0 |BT| (ROOT (S (NP (EX (there)))(VP (VBZ (be)))(NP (RB (only))(CD (one))(JJ (pretty))(NN (child)))(PP (IN (in)))(NP (DT (the))(NN (world)))(NP (DT (every))(NN (mother)))(VP (VBZ (have)))(NP (PRP (it))))) |ET|
4.05 |BT| (ROOT (S (NP (NNS (obstacle)))(VP (MD (will))(RB (not))(VB (destroy)))(NP (PRP$ (you))(NN (vision)))(VP (NNS (dream)))(PP (IN (for)))(NP (DT (the))(JJ (new))(NN (year)))(NP (PRP$ (you))(NN (attitude)))(VP (MD (will))))) |ET|
4.5 |BT| (ROOT (S (INTJ (UH (wow)))(VP (VB (have)))(NP (PRP$ (my))(NN (day)))(VP (VBN (take)))(NP (DT (a))(NN (turn)))(PP (IN (for)))(NP (DT (the))(JJS (worst))))) |ET|
3.25 |BT| (ROOT (S (NP (SYM (&))(NNS (heart)))(NP (NN (yay))))(S (NP (NN (ketelyn)))(VP (VBZ (be))(VBG (come)))(ADVP (RP (over))))(S (NP (PRP$ (its)))(VP (VBG (go))(TO (to))(VB (be)))(NP (DT (a))(JJ (good))(CD (one)))(NP (NN (today))))) |ET|
